Outer Fold,Accuracy,F1 Score,Precision,Recall,Best Params
1,0.9240677966101695,0.9259106670031968,0.9303737907257523,0.9240677966101695,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}"
2,0.8894915254237288,0.8929670852203757,0.899887895792996,0.8894915254237288,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
3,0.907055630936228,0.9126290545045977,0.9331508913674342,0.907055630936228,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
4,0.9118046132971506,0.9166958416331986,0.9370647456279488,0.9118046132971506,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
5,0.8799185888738128,0.8850689927192157,0.898780399185385,0.8799185888738128,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
