Outer Fold,Accuracy,F1 Score,Precision,Recall,Best Params
1,0.9288135593220339,0.9296587433358316,0.9310879757438657,0.9288135593220339,"{'clf__C': 100, 'clf__gamma': 'auto', 'clf__kernel': 'poly'}"
2,0.8888135593220339,0.8918391382087391,0.8973665765515713,0.8888135593220339,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'poly'}"
3,0.923337856173677,0.927260869349001,0.9415656871770971,0.923337856173677,"{'clf__C': 100, 'clf__gamma': 'auto', 'clf__kernel': 'poly'}"
4,0.9165535956580733,0.9208902044712756,0.9384252895453954,0.9165535956580733,"{'clf__C': 100, 'clf__gamma': 'auto', 'clf__kernel': 'poly'}"
5,0.878561736770692,0.8837703372697153,0.8975169341220955,0.878561736770692,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}"
