Outer Fold,Accuracy,F1 Score,Precision,Recall,Best Params
1,0.8756510416666666,0.8817630036066088,0.898447511871682,0.8756510416666666,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}"
2,0.8795572916666666,0.888855432674898,0.9208953063627322,0.8795572916666666,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}"
3,0.9192708333333334,0.9233818836417713,0.9407162169773167,0.9192708333333334,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
4,0.8880208333333334,0.8922792938852343,0.9032082768744355,0.8880208333333334,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}"
5,0.8619791666666666,0.8724770815661481,0.9144788002814468,0.8619791666666666,"{'clf__C': 10, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
