Outer Fold,Accuracy,F1 Score,Precision,Recall,Best Params
1,0.8736979166666666,0.8796104918844473,0.8948516187874138,0.8736979166666666,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}"
2,0.8951822916666666,0.9024843993070286,0.9274115006775068,0.8951822916666666,"{'clf__C': 100, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}"
3,0.923828125,0.9274917512049864,0.942705141788278,0.923828125,"{'clf__C': 100, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}"
4,0.888671875,0.8926284639760821,0.9022870060576507,0.888671875,"{'clf__C': 100, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}"
5,0.865234375,0.8752849658259995,0.9150107011624607,0.865234375,"{'clf__C': 100, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}"
