,precision,recall,f1-score,support
0,0.9361559139784946,0.9606896551724138,0.9482641252552757,1450.0
1,0.8394366197183099,0.7582697201017812,0.7967914438502673,393.0
accuracy,0.9175257731958762,0.9175257731958762,0.9175257731958762,0.9175257731958762
macro avg,0.8877962668484023,0.8594796876370975,0.8725277845527715,1843.0
weighted avg,0.915531560943089,0.9175257731958762,0.9159641991607732,1843.0
