,precision,recall,f1-score,support
0,0.9692883895131086,0.8924137931034483,0.9292639138240575,1450.0
1,0.6929133858267716,0.8956743002544529,0.781354051054384,393.0
accuracy,0.8931090613130765,0.8931090613130765,0.8931090613130765,0.8931090613130765
macro avg,0.8311008876699402,0.8940440466789505,0.8553089824392208,1843.0
weighted avg,0.91035438167332,0.8931090613130765,0.8977237206235791,1843.0
