,precision,recall,f1-score,support
0,0.9628804751299184,0.8944827586206896,0.9274222381122631,1450.0
1,0.6915322580645161,0.8727735368956743,0.7716535433070866,393.0
accuracy,0.8898534997287032,0.8898534997287032,0.8898534997287032,0.8898534997287032
macro avg,0.8272063665972172,0.883628147758182,0.8495378907096749,1843.0
weighted avg,0.9050183756688749,0.8898534997287032,0.8942062331972146,1843.0
