,precision,recall,f1-score,support
0,0.9702290076335878,0.876551724137931,0.9210144927536232,1450.0
1,0.6641651031894934,0.9007633587786259,0.7645788336933045,393.0
accuracy,0.8817145957677699,0.8817145957677699,0.8817145957677699,0.8817145957677699
macro avg,0.8171970554115406,0.8886575414582785,0.8427966632234638,1843.0
weighted avg,0.9049641598601048,0.8817145957677699,0.8876562648585038,1843.0
