,precision,recall,f1-score,support
0,0.9921090387374462,0.9427402862985685,0.9667948269835722,1467.0
1,0.8133333333333334,0.9708222811671088,0.8851269649334945,377.0
accuracy,0.9484815618221258,0.9484815618221258,0.9484815618221258,0.9484815618221258
macro avg,0.9027211860353898,0.9567812837328387,0.9259608959585334,1844.0
weighted avg,0.9555589080772777,0.9484815618221258,0.9500980894603187,1844.0
