,precision,recall,f1-score,support
0,0.9920863309352518,0.940013633265167,0.9653482674133707,1467.0
1,0.8061674008810573,0.9708222811671088,0.8808664259927798,377.0
accuracy,0.9463123644251626,0.9463123644251626,0.9463123644251626,0.9463123644251626
macro avg,0.8991268659081546,0.9554179572161379,0.9231073467030753,1844.0
weighted avg,0.9540757904632174,0.9463123644251626,0.9480762206587271,1844.0
