,precision,recall,f1-score,support
0,0.9579524680073126,0.8668320926385442,0.9101172383847156,1209.0
1,0.6357466063348416,0.8593272171253823,0.7308192457737321,327.0
accuracy,0.865234375,0.865234375,0.865234375,0.865234375
macro avg,0.7968495371710771,0.8630796548819633,0.8204682420792239,1536.0
weighted avg,0.8893578607371967,0.865234375,0.871946376676518,1536.0
