,precision,recall,f1-score,support
0,0.9990714948932219,0.893687707641196,0.943445857080228,1204.0
1,0.7211328976034859,0.9969879518072289,0.8369152970922883,332.0
accuracy,0.916015625,0.916015625,0.916015625,0.916015625
macro avg,0.8601021962483539,0.9453378297242124,0.8901805770862581,1536.0
weighted avg,0.9389962251665341,0.916015625,0.9204197204161683,1536.0
