,precision,recall,f1-score,support
0,0.9570277529095792,0.8945606694560669,0.9247404844290658,1195.0
1,0.6992840095465394,0.8592375366568915,0.7710526315789473,341.0
accuracy,0.88671875,0.88671875,0.88671875,0.88671875
macro avg,0.8281558812280593,0.8768991030564792,0.8478965580040065,1536.0
weighted avg,0.8998072994676544,0.88671875,0.8906209806387725,1536.0
