,precision,recall,f1-score,support
0,0.9283387622149837,0.9429280397022333,0.9355765285186705,1209.0
1,0.775974025974026,0.7308868501529052,0.752755905511811,327.0
accuracy,0.8977864583333334,0.8977864583333334,0.8977864583333334,0.8977864583333334
macro avg,0.8521563940945048,0.8369074449275693,0.8441662170152407,1536.0
weighted avg,0.895901738288686,0.8977864583333334,0.8966557318238508,1536.0
