,precision,recall,f1-score,support
0,0.9943019943019943,0.8376,0.9092488059053409,1250.0
1,0.5797101449275363,0.9790209790209791,0.7282184655396619,286.0
accuracy,0.8639322916666666,0.8639322916666666,0.8639322916666666,0.8639322916666666
macro avg,0.7870060696147653,0.9083104895104895,0.8187336357225014,1536.0
weighted avg,0.9171058556814898,0.8639322916666666,0.8755413336757938,1536.0
